,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
2706,7f11c465e87743277149bdc33c6fd8296228f798,2015-10-08 13:04:58,33.4324083333333,-79.4750533333333,665.0,6365142.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20195/DSC_0737_66a7889d-f702-4bbc-be53-e8c112134de6.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20195/DSC_0737_66a7889d-f702-4bbc-be53-e8c112134de6.jpg
9092,a7c0a407b07d0ddae3d1cbcca9c4ef2d9d8fbf63,2017-09-26 12:36:15,18.202443333333303,-65.7326283333333,256.0,8371500.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-93_1ff75487-670b-4359-b38a-585bc6925b7f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-93_1ff75487-670b-4359-b38a-585bc6925b7f.jpg
11740,7c0e63bc7c565065044a0709512120eff447a5a1,2018-05-09 23:42:32,36.8635466666667,-76.18735500000001,308.0,14836261.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9088/614548/CAP_0253_787ee9d9-fb0c-4620-b189-64a51f082233.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9088/614548/CAP_0253_787ee9d9-fb0c-4620-b189-64a51f082233.jpg
12062,94be647a414e3174d33abc998696ca49e1cd4aab,2017-09-10 13:59:02,29.889686666666698,-95.5404566666667,509.0,8664035.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9073/613824/DSC_0641_0e8ac4e8-cdc2-4fb1-86d8-117d59a27874.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613824/DSC_0641_0e8ac4e8-cdc2-4fb1-86d8-117d59a27874.jpg
12911,2df503887d459f7873beb642cba617fb7f0c4371,2017-09-08 19:09:23,28.108909999999998,-97.04223,304.0,11110036.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613926/DSC_2526.JPG,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613926/DSC_2526.JPG
16276,07545ab6be9b9f7dceb4648fe15047674647c785,2017-09-18 11:28:57,24.68675,-81.3714383333333,309.0,6367609.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613833/DSC_1626_49e03780-8429-4ed4-adaf-ad68fc5c584a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613833/DSC_1626_49e03780-8429-4ed4-adaf-ad68fc5c584a.jpg
16880,8152efc1594b29f0cb6e1c6f4889e70a68854179,2017-09-10 14:16:16,29.9581683333333,-95.6175333333333,290.0,13465413.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_2004_e617a7cb-6b84-41d6-bb53-aa4cdeb018a6.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_2004_e617a7cb-6b84-41d6-bb53-aa4cdeb018a6.jpg
18091,2054423218b20b5ef468122274af2762832cf63a,2017-09-09 15:14:35,18.130023333333302,-65.44386,488.0,11425119.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613608/DSC_1852_c65d966a-85cb-408a-ba33-9196b7c433ba.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613608/DSC_1852_c65d966a-85cb-408a-ba33-9196b7c433ba.jpg
18771,99b6cd57816af5fb3342c263afa14e6981a601c0,2016-10-09 18:36:19,31.966758333333303,-80.9078383333333,516.0,6351263.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3045/291518/DSC_0985_40cf4832-1c0a-46a1-91fd-276183464714.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3045/291518/DSC_0985_40cf4832-1c0a-46a1-91fd-276183464714.jpg
19834,9fd95fa40461efcd9938225fe7aa8f6dbef46bb7,2017-09-02 15:54:15,29.7331583333333,-96.0493366666667,379.0,11470342.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613560/DSC_0055_14fe8f8e-2ecf-430b-b860-e0cb1057dfad.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613560/DSC_0055_14fe8f8e-2ecf-430b-b860-e0cb1057dfad.jpg
