,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
219,11e228a67655667ccc3d97826f0b767fe883fba6,2017-09-18 10:45:20,24.635,-81.4537466666667,332.0,6712358.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613833/DSC_1306_fb33b092-8f33-4c8c-9261-64d4c3429a32.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613833/DSC_1306_fb33b092-8f33-4c8c-9261-64d4c3429a32.jpg
758,535196ef1d8ea36bdf9577d776c433de888309c0,2017-09-26 12:24:04,18.206171666666698,-65.740305,486.0,6619153.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-92_621b3bc4-4456-4a6c-a2b4-7ac25b75d191.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-92_621b3bc4-4456-4a6c-a2b4-7ac25b75d191.jpg
878,425c363334d254e2599f488487c01fa10255edb8,2017-09-10 14:06:54,29.7700716666667,-95.6286483333333,312.0,11244218.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_1723_25045c00-2bc7-4220-a399-ea1f416e4dd5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_1723_25045c00-2bc7-4220-a399-ea1f416e4dd5.jpg
1059,a17051e9be13f38570867cdbc1c3fe110aa6ad20,2015-10-09 11:05:36,33.4703383333333,-79.5599366666667,433.0,6358609.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20211/DSC_1106_f43eee7f-5836-49c0-9540-8dd5ce4565de.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20211/DSC_1106_f43eee7f-5836-49c0-9540-8dd5ce4565de.jpg
1142,1541737684c43bbe74a19cb375cde2f5176d3b52,2015-10-08 16:39:56,33.6942366666667,-79.2565266666667,425.0,15454341.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2020_ec901820-fa08-4bfe-b393-ffce3b60b3cd.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2020_ec901820-fa08-4bfe-b393-ffce3b60b3cd.jpg
1475,4408d08a2120753d76fa2f3227338facadd81c81,2015-10-06 20:57:13,33.0024716666667,-80.27529,313.0,6103407.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20147/DSC_1579_0974d9a0-aa3a-4389-ba18-3c3dcd4a5e59.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20147/DSC_1579_0974d9a0-aa3a-4389-ba18-3c3dcd4a5e59.jpg
2075,27dd8f99245472ebd17f2fb5075d47e23cde4205,2018-05-09 23:06:33,36.7618316666667,-76.2621016666667,297.0,15313228.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9088/614548/CAP_0117_b6a3ccc7-be8a-4c4d-8489-55529cba00f3.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9088/614548/CAP_0117_b6a3ccc7-be8a-4c4d-8489-55529cba00f3.jpg
2154,8b08d71d8c9073fd98d57885457ed76b60c1c40a,2015-10-06 22:23:47,32.66483,-80.346515,365.0,10206513.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20148/DSC_0044_06f30ac3-e4e9-4789-b08a-262c2f3a26c1.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20148/DSC_0044_06f30ac3-e4e9-4789-b08a-262c2f3a26c1.jpg
2594,32a77c771edb52c10615868f47b466b49a8ccc60,2015-10-08 17:47:08,34.2023266666667,-79.54347666666669,430.0,14537943.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20186/CAP_2138_9ae5c108-9157-4294-99ce-a77dcefa3864.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20186/CAP_2138_9ae5c108-9157-4294-99ce-a77dcefa3864.jpg
3637,bef4fbcc952286778bca25729396cf9d4a214c67,2015-10-07 15:57:07,34.174531666666695,-79.7379866666667,488.0,14394593.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20165/CAP_1757_4b6c9147-93f5-43c1-8dbd-e929b7117672.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20165/CAP_1757_4b6c9147-93f5-43c1-8dbd-e929b7117672.jpg
